"Mail Settings","Configurações de email"
"Enabled","Habilitado"
"Access Key ID","Id da chave de acesso"
"Secret Access Key","Chave secreta de acesso"
"Test Settings","Configurações de Teste"
"Test Email","Endereço de email para receber o teste"
"Test From Email","Endereço de email para envio do teste"
"Send a test message using Amazon SES","Envie uma mensagem de teste usando Amazon SES"
"This action will send a message in order to test module configuration.","Esta ação irá enviar uma mensagem de teste para testar suas configurações do módulo"
"Send","Enviar"
"Hi there,","Olá,"
"This is a test message in order to test OpsWay/EmailAmazonSES settings.","Este é uma mensagem de testes para suas configurações do módulo OpsWay/EmailAmazonSES."
"If you read this - everything works great","Se você está lendo isso - tudo funcionou perfeitamente"
"Copyright © 2016 OpsWay. All rights reserved.","Copyright © 2016 OpsWay. Todos os direitos reservados."
"Test Email","Email de Testes"
